homeAway,Ball_Possession_1st_Half,Corners_1st_Half,Fouls_Commited_1st_Half,Goals_1st_Half,Red_Cards_1st_Half,Shots_1st_Half,Shots_On_1st_Half,Yellow_Cards_1st_Half,Result
1,45,1,8,0,0,1,1,0,0
1,29,3,5,1,0,2,1,1,1
0,71,1,4,0,0,2,0,0,1
0,42,1,3,1,0,3,1,0,0
0,36,0,8,0,0,1,0,2,0
0,64,4,10,0,0,6,2,2,0
0,53,0,3,1,0,7,4,0,0
1,35,2,6,0,0,3,1,1,0
1,62,0,4,0,0,4,2,2,0
1,63,4,1,1,0,7,3,0,1
0,37,2,2,0,0,1,1,0,1
1,18,1,3,0,0,1,0,0,0
0,38,3,4,0,0,0,0,1,0
1,47,3,5,0,0,4,3,1,1
0,53,0,3,0,0,2,1,1,1
0,45,0,5,0,0,1,1,1,0
1,61,4,4,0,0,5,1,2,1
0,39,1,5,0,0,3,0,1,1
1,34,1,5,0,0,4,0,0,1
0,66,2,6,0,0,4,2,2,1
0,32,1,3,0,0,1,1,1,0
0,68,0,7,0,0,5,2,1,0
0,53,2,7,0,0,6,2,1,0
1,69,4,3,1,0,5,2,1,1
0,31,0,6,0,0,1,1,0,1
1,75,3,3,0,0,9,3,1,1
0,25,1,3,1,0,4,3,0,1
0,50,2,5,0,0,9,2,0,0
1,47,3,4,0,0,6,3,2,1
0,53,1,5,0,0,4,3,2,1
0,43,1,8,1,0,2,2,1,0
0,52,1,1,1,0,5,3,0,0
1,70,2,5,0,0,2,0,0,0
1,26,0,8,0,0,0,0,1,0
1,47,1,4,0,0,2,0,1,0
0,56,4,6,0,0,4,1,2,0
1,32,4,8,2,0,7,5,2,1
0,68,0,3,1,0,7,5,1,1
0,69,3,4,0,0,3,0,1,0
1,40,1,4,0,0,6,3,0,0
1,49,3,3,0,0,6,2,0,1
0,51,3,2,1,0,5,5,0,1
0,22,0,4,0,0,1,0,0,0
0,33,0,7,0,0,2,1,1,0
1,38,0,7,0,0,1,0,0,1
0,62,2,7,0,0,5,2,0,1
1,40,3,3,0,0,6,3,0,1
0,60,0,4,1,0,3,3,2,1
0,28,0,2,1,0,4,2,0,0
1,48,0,5,0,0,2,1,0,0
1,33,1,7,0,0,4,1,1,1
0,67,2,5,0,0,4,1,0,1
0,67,3,6,1,0,3,2,1,0
0,43,1,1,0,0,2,0,1,0
0,44,4,8,0,0,4,0,1,0
1,55,3,7,2,0,3,2,1,0
1,51,6,6,0,0,8,4,1,1
0,49,1,6,0,0,5,4,0,1
0,28,0,5,0,0,1,0,0,0
1,30,1,2,0,0,0,0,1,1
0,70,3,3,0,0,2,0,0,1
0,49,1,4,2,0,3,3,1,0
0,54,3,6,0,0,4,1,1,0
1,31,1,5,1,0,2,1,2,0
0,45,2,5,0,0,1,0,0,0
1,40,2,4,0,1,4,1,0,0
1,69,4,7,0,0,6,4,0,1
0,31,0,8,0,0,3,1,2,1
0,59,0,4,2,0,9,4,0,0
1,34,2,3,0,0,2,1,0,0
0,45,8,7,0,0,2,2,0,0
0,41,1,5,1,0,4,3,0,0
1,43,2,2,0,0,1,0,0,1
0,57,6,5,0,0,8,4,1,1
1,54,4,4,1,0,6,3,0,1
0,46,1,5,2,0,4,4,1,1
1,25,3,5,1,0,5,2,1,0
1,24,0,4,0,1,0,0,1,0
1,45,0,6,0,0,3,1,1,0
0,64,3,3,0,0,4,3,2,0
0,38,0,5,0,0,2,2,2,0
1,63,1,11,0,0,2,0,3,1
0,37,5,7,0,0,5,5,1,1
0,43,3,9,0,0,1,0,2,0
0,30,0,1,0,0,4,1,0,0
0,39,0,6,0,0,1,1,1,0
0,36,0,3,0,0,1,0,1,0
0,54,1,8,1,0,4,3,0,0
1,55,5,3,0,0,6,3,0,0
0,41,1,9,1,0,5,3,0,0
0,48,1,4,1,0,3,2,1,0
0,62,2,5,1,0,4,2,1,0
1,30,0,2,1,0,1,1,0,0
1,44,1,7,1,0,2,2,2,1
0,56,2,9,1,0,1,1,1,1
0,64,4,9,0,0,4,3,1,0
1,54,2,9,0,0,2,2,0,1
0,46,0,6,0,0,3,0,2,1
0,38,3,5,0,0,2,1,1,0
1,65,4,4,1,0,5,2,1,1
0,35,2,5,2,0,5,4,0,1
0,40,1,5,0,0,3,0,2,0
1,40,1,7,0,0,9,6,0,0
1,34,2,4,0,0,3,1,0,0
1,62,3,5,0,0,5,1,0,1
0,38,3,5,0,0,5,2,1,1
1,43,3,4,1,0,6,6,1,1
0,57,4,2,0,0,8,0,0,1
0,54,1,3,0,0,5,3,0,0
0,44,1,12,1,0,4,2,1,0
1,47,2,3,0,0,4,1,1,0
1,36,3,3,0,0,2,2,0,1
0,64,0,4,0,0,3,1,0,1
0,36,1,5,0,0,2,1,0,0
0,42,1,4,0,0,1,0,2,0
0,47,0,2,0,0,4,1,0,0
0,45,4,3,0,0,6,5,0,0
0,51,3,5,0,0,3,0,1,0
0,74,4,3,0,0,4,2,0,0
0,49,1,6,0,0,3,2,0,0
0,45,1,7,0,0,2,0,1,0
1,46,1,3,0,0,3,1,0,1
0,54,3,5,0,0,7,4,1,1
1,64,4,5,0,0,7,4,1,0
1,39,6,3,0,0,1,1,0,1
0,61,2,5,1,0,5,3,1,1
0,49,3,5,0,0,3,1,0,0
1,57,1,8,1,0,2,1,1,0
1,49,1,4,0,0,6,3,1,0
0,39,0,4,0,0,3,2,0,0
1,34,1,0,0,0,2,1,0,0
1,37,2,4,1,0,3,2,0,0
0,48,4,3,0,0,5,4,1,0
0,50,1,9,0,0,2,0,3,0
